kor_co_nm: 우리은행 | fin_prdt_nm: 우리SUPER주거래적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 만기 후 - 1개월이내 : 만기시점약정이율×50% - 1개월초과 6개월이내: 만기시점약정이율×30% - 6개월초과 : 만기시점약정이율×20%  ※ 만기시점 약정이율 : 일반정기적금 금리 | spcl_cnd: 1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 1.9%p 우대 가. 우리은행을 처음 거래하시는 고객 : 연 1.0%p 나. 거래실적 인정기간 동안 아래 거래실적을 계약기간별 필수기간(1년 : 6개월, 2년 : 12개월, 3년 : 18개월)이상 충족하는 경우 최대 연 0.9%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: None
kor_co_nm: 하나은행 | fin_prdt_nm: 주거래하나 월복리적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: 1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/2 1개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4 | spcl_cnd: 최고 연1.0% - 주거래하나우대(연 0.5%) : 적금만기 전전월말기준 본인명의 당행입출금통장을 통해 계약기간 1/2이상 이체된 주거래실적 1종  - 주거래플러스우대(연 0.9%) : 주거래 하나우대와 동일요건의 거래실적 2종이상 경우  - 온라인.재예치우대 연 최대 0.1% | join_deny: 1 | join_member: 실명의 개인 또는 개인사업자 | max_limit: 3000000
kor_co_nm: 하나은행 | fin_prdt_nm: 내맘적금 | join_way: 영업점,인터넷,스마트폰,전화(텔레뱅킹) | mtrt_int: 1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/2 1개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4 | spcl_cnd: 하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50% | join_deny: 1 | join_member: 실명의 개인 또는 개인사업자(1인 다계좌 가능) | max_limit: 10000000
kor_co_nm: 주식회사 케이뱅크 | fin_prdt_nm: 코드K 자유적금 | join_way: 스마트폰 | mtrt_int: 만기 후  - 1개월 이내: 만기시점 기본금리 X 50%  - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30% - 6개월 초과: 연 0.20% | spcl_cnd: 금리우대 코드를 입력하는 경우 우대금리 적용 | join_deny: 1 | join_member: 만 17세 이상 실명의 개인 및 개인사업자 | max_limit: 300000
kor_co_nm: 주식회사 케이뱅크 | fin_prdt_nm: 주거래우대 자유적금 | join_way: 스마트폰 | mtrt_int: 만기 후  - 1개월 이내: 만기시점 기본금리 X 50%  - 1개월 초과 ~ 6개월 이내: 만기시점 기본금리 X 30% - 6개월 초과: 연 0.20% | spcl_cnd: 급여이체 또는 통신비 자동이체, 체크카드 고객에게 우대금리 제공 (최고 연 0.6%) | join_deny: 1 | join_member: 만 17세 이상 실명의 개인 및 개인사업자 | max_limit: 3000000
kor_co_nm: 수협은행 | fin_prdt_nm: Sh평생주거래우대적금 | join_way: 영업점 | mtrt_int: * 만기후 1년 이내  - 만기당시 정기적금  계약기간별 기본금리 1/2 * 만기후 1년 초과  - 만기당시 보통예금 기본금리 | spcl_cnd: *최대우대금리:1.2% 신규시적용금리 -자동이체출금3건이상:0.2% -최초예적금고객/재예치/장기거래각0.05%(최대0.1%) 만기시적용금리:최대0.9% -급여,연금이체/수협카드결제각0.3% -공과금이체최대0.3% ※단위:연%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 1000000
kor_co_nm: 수협은행 | fin_prdt_nm: Sh해양플라스틱Zero!적금 (정액적립식) | join_way: 영업점,인터넷,스마트폰 | mtrt_int: * 만기후 1년 이내  - 만기당시 정기적금  계약기간별 기본금리 1/2 * 만기후 1년 초과  - 만기당시 보통예금 기본금리 | spcl_cnd: * 최대우대금리:0.5% 1. 해양플라스틱감축서약 : 0.1% (신규시)  2. 봉사활동 또는 상품홍보 : 0.2% (만기시)  3. 입출금통장 최초신규 : 0.2% (만기시) 4. 자동이체 출금실적 : 0.2% (만기시)  - 수협신용카드 / 당행 펀드 / 수협체크카드 ※단위:연%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 1000000
kor_co_nm: 수협은행 | fin_prdt_nm: 헤이(Hey)적금(정액적립식) | join_way: 스마트폰 | mtrt_int: * 만기후 1년 이내  - 만기당시 정기적금  계약기간별 기본금리 1/2 * 만기후 1년 초과  - 만기당시 보통예금 기본금리 | spcl_cnd: * 최대우대금리:0.9% 1. 마케팅동의 : 0.1% (신규시)  2. 자동이체 납입 : 0.8% (만기시)   ※단위:연%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 1000000
kor_co_nm: 수협은행 | fin_prdt_nm: Sh월복리자유적금 | join_way: 영업점,인터넷,스마트폰 | mtrt_int: * 만기후 1년 이내  - 만기당시 상호부금 계약기간별 기본금리 1/2 * 만기후 1년 초과  - 만기당시 보통예금 기본금리 | spcl_cnd: *최대우대금리:0.7% -첫거래고객:0.3% -카드거래:최대0.3% -복수거래:0.1% -요구불거래:최대0.2% -인터넷뱅킹고객:0.1% -자동이체실적:0.1% ※단위:연%p | join_deny: 1 | join_member: 실명의 개인 및 개인사업자 | max_limit: 1000000
kor_co_nm: 수협은행 | fin_prdt_nm: Sh해양플라스틱Zero!적금 (자유적립식) | join_way: 영업점,인터넷,스마트폰 | mtrt_int: * 만기후 1년 이내  - 만기당시 상호부금  계약기간별 기본금리 1/2 * 만기후 1년 초과  - 만기당시 보통예금 기본금리 | spcl_cnd: * 최대우대금리:0.5% 1. 해양플라스틱감축서약 : 0.1% (신규시)  2. 봉사활동 또는 상품홍보 : 0.2% (만기시)  3. 입출금통장 최초신규 : 0.2% (만기시) 4. 자동이체 출금실적 : 0.2% (만기시)  - 수협신용카드 / 당행 펀드 / 수협체크카드 ※단위:연%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 200000
kor_co_nm: 수협은행 | fin_prdt_nm: 헤이(Hey)적금(자유적립식) | join_way: 스마트폰 | mtrt_int: * 만기후 1년 이내  - 만기당시 상호부금 계약기간별 기본금리 1/2 * 만기후 1년 초과  - 만기당시 보통예금 기본금리 | spcl_cnd: * 최대우대금리:0.9% 1. 마케팅동의 : 0.1% (신규시)  2. 자동이체 납입 : 0.8% (만기시)   ※단위:연%p | join_deny: 1 | join_member: 실명의 개인 | max_limit: 1000000
kor_co_nm: 주식회사 카카오뱅크 | fin_prdt_nm: 카카오뱅크 자유적금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 가입(또는 자동연장)시점 기본금리x50% - 만기 후 1개월초과 3개월 이내 : 가입(또는 자동연장)시점 기본금리x30% - 만기 후 3개월 초과 : 0.20% | spcl_cnd: 자동이체시 우대금리 제공 : 연 0.20%p  - 제공조건 : 전체 계약월수의 1/2이상을 자동이체로 납입하고 만기 해지하는 경우  - 유의사항 : 만기 자동연장된 원리금은 우대금리를 제공하지 않음 | join_deny: 1 | join_member: 만 17세 이상의 실명의 개인 | max_limit: None
kor_co_nm: 주식회사 카카오뱅크 | fin_prdt_nm: 카카오뱅크 26주적금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 가입시점 기본금리x50% - 만기 후 1개월초과 3개월 이내 : 가입시점 기본금리x30% - 만기 후 3개월 초과 : 0.20% | spcl_cnd: 자동이체 연속 성공 우대금리 제공 : 최고 연 3.00%p - 제공조건 ① 7주차까지 자동이체 납입을 연속 성공하고 만기해지 하는 경우 연 1.00%p 제공 ② 26주차까지 자동이체 납입을 연속 성공하고 만기해지 하는 경우 연 2.00%p 추가 제공 - 유의사항 : 자동이체 실패한 주차를 빈자리채우기 하여도 성공으로 인정되지 않음 | join_deny: 1 | join_member: 만 17세 이상의 실명의 개인 | max_limit: None
kor_co_nm: 주식회사 카카오뱅크 | fin_prdt_nm: 카카오뱅크 한달적금 | join_way: 스마트폰 | mtrt_int: - 만기 후 1개월 이내 : 가입시점 기본금리x50% - 만기 후 1개월초과 3개월 이내 : 가입시점 기본금리x30% - 만기 후 3개월 초과 : 0.20% | spcl_cnd: 매일/보너스 우대금리 제공 : 최고 연 5.50%p - 제공조건 ① 매일 우대금리 : 매 입금 시 마다 연 0.10%p 제공(최대 연 3.10%p) ② 보너스 우대금리 : 누적하여 5/10/15/20/25/31회 입금 시 해당 우대금리 제공(최대 연 2.40%p) - 유의사항 : 만기 해지하는 경우에만 제공 | join_deny: 1 | join_member: 만 17세 이상의 실명의 개인 | max_limit: None
kor_co_nm: 토스뱅크 주식회사 | fin_prdt_nm: 토스뱅크 키워봐요 적금 | join_way: 스마트폰 | mtrt_int: · 만기 후 1개월 이내 : 만기시점 기본금리 X 50%  · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%  · 만기 후 3개월 초과 : 연 0.10% | spcl_cnd: · 적금 가입 시 설정되는 주 단위 자동이체를 통하여 25회 이상 적립한 경우 : 연 2.00% 제공 | join_deny: 1 | join_member: · 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인 | max_limit: 1000000
kor_co_nm: 토스뱅크 주식회사 | fin_prdt_nm: 토스뱅크 굴비 적금 | join_way: 스마트폰 | mtrt_int: · 만기 후 1개월 이내 : 만기시점 기본금리 X 50%  · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%  · 만기 후 3개월 초과 : 연 0.10% | spcl_cnd: · 만기 해지 시 : 연 2.50% 제공 | join_deny: 1 | join_member: · 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인 | max_limit: 300000
kor_co_nm: 토스뱅크 주식회사 | fin_prdt_nm: 토스뱅크 자유 적금 | join_way: 스마트폰 | mtrt_int: · 만기 후 1개월 이내 : 만기시점 기본금리 X 50%  · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%  · 만기 후 3개월 초과 : 연 0.10% | spcl_cnd: · 적금 가입 시 설정되는 월 단위 자동이체를 모두 성공하는 경우 : 연 0.50% 제공 | join_deny: 1 | join_member: · 토스뱅크 통장 또는 토스뱅크 서브 통장을 보유한 실명의 개인 | max_limit: 3000000
kor_co_nm: 토스뱅크 주식회사 | fin_prdt_nm: 토스뱅크 아이 적금 | join_way: 스마트폰 | mtrt_int: · 만기 후 1개월 이내 : 만기시점 기본금리 X 50%  · 만기 후 1개월 초과 3개월 이내 : 만기시점 기본금리 X 20%  · 만기 후 3개월 초과 : 연 0.10% | spcl_cnd: · 적금 가입 시 설정되는 월 단위 자동이체를 모두 성공하는 경우 : 연 2.50% 제공 | join_deny: 3 | join_member: · 토스뱅크 아이 통장을 보유한 15세 이하 실명의 개인 | max_limit: 200000
